Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
09030109,E18,09030109,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:00:29 PM,04/12/2000 09:01:40 PM,04/12/2000 09:02:00 PM,,,,,Other,,2000 Block of 37TH AVE,SF,94116,B08,18,0757,3,3,3,false,,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7487247711275, -122.495504020186)",001030101-E18
001030104,M14,00030612,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:09:02 PM,04/12/2000 09:10:17 PM,04/12/2000 09:10:29 PM,04/12/2000 09:12:11 PM,04/12/2000 09:19:36 PM,04/12/2000 09:43:57 PM,04/12/2000 10:03:33 PM,Other,04/12/2000 10:23:57 PM,1700 Block of 43RD AVE,SF,94122,B08,23,7651,3,3,3,true,,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7540326780595, -122.502185504543)",001030104-M14
001030106,M36,13067402,Medical Incident,06/01/2017,04/12/2000,04/12/2000 09:09:44 PM,04/12/2000 09:10:56 PM,04/12/2000 09:11:47 PM,,04/12/2000 09:14:11 PM,04/12/2000 09:59:31 PM,04/12/2000 10:10:06 PM,Other,04/12/2000 10:43:40 PM,0 Block of FELL ST,SF,94102,B02,36,3111,3,3,3,false,,1,MEDIC,1,2,6,Tenderloin,"(37.7764405100838, -122.418481123408)",001030106-M36
001030107,E01,13067402,Alarms,06/01/2017,06/01/2017,04/12/2000 09:13:47 PM,04/12/2000 09:13:51 PM,04/12/2000 09:14:13 PM,04/12/2000 09:15:58 PM,04/12/2000 09:20:12 PM,,,Other,04/12/2000 09:24:19 PM,100 Block of JONES ST,SF,94102,B03,01,1456,3,3,3,false,,1,ENGINE,3,3,6,Tenderloin,"(37.7825474000421, -122.412247935495)",001030107-E01
12077793,RS1,13067402,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:14:43 PM,04/12/2000 09:16:11 PM,04/12/2000 09:16:24 PM,04/12/2000 09:18:20 PM,04/12/2000 09:20:08 PM,,,Other,04/12/2000 09:20:36 PM,700 Block of MARKET ST,SF,94108,B03,01,1322,3,3,3,false,,1,RESCUE SQUAD,2,1,3,Tenderloin,"(37.7863072236365, -122.405294845215)",001030108-RS1
001030112,T03,07021713,Citizen Assist / Service Call,06/01/2017,04/12/2000,04/12/2000 09:24:27 PM,04/12/2000 09:24:54 PM,04/12/2000 09:25:10 PM,04/12/2000 09:27:10 PM,04/12/2000 09:30:26 PM,,,Other,04/12/2000 09:44:28 PM,800 Block of SUTTER ST,SF,94109,B01,03,1463,3,3,3,false,,1,TRUCK,1,1,3,Nob Hill,"(37.7884388430214, -122.414352343522)",001030112-T03
001030116,E38,07021713,Electrical Hazard,04/12/2000,04/12/2000,04/12/2000 09:25:55 PM,04/12/2000 09:28:06 PM,04/12/2000 09:28:46 PM,04/12/2000 09:29:59 PM,04/12/2000 09:31:18 PM,,,Other,04/12/2000 09:39:36 PM,CALIFORNIA ST/VAN NESS AV,SF,94109,B04,38,3155,3,3,3,false,,1,ENGINE,1,4,2,Nob Hill,"(37.7903696585646, -122.422328957341)",001030116-E38
001030117,E15,00030626,Odor (Strange / Unknown),04/12/2000,04/12/2000,04/12/2000 09:27:55 PM,04/12/2000 09:28:38 PM,04/12/2000 09:30:27 PM,04/12/2000 09:31:43 PM,04/12/2000 09:34:57 PM,,,Other,04/12/2000 09:38:24 PM,2100 Block of ALEMANY BLVD,SF,94112,B09,15,8331,3,3,3,false,,1,ENGINE,1,9,11,Outer Mission,"(37.7183153380753, -122.441921085449)",001030117-E15
001030118,E08,00030625,Medical Incident,04/12/2010,04/12/2000,04/12/2000 09:27:45 PM,04/12/2000 09:28:58 PM,04/12/2000 09:29:21 PM,04/12/2000 09:31:26 PM,04/12/2000 09:32:34 PM,,,Other,04/12/2000 09:45:28 PM,4TH ST/CHANNEL ST,SF,,B03,08,2226,3,3,3,false,,1,ENGINE,1,3,6,None,"(37.7750268633971, -122.392346204303)",001030118-E08
001030119,M17,07021713,Medical Incident,04/12/2010,04/12/2000,04/12/2000 09:29:54 PM,04/12/2000 09:30:16 PM,04/12/2000 09:31:26 PM,04/12/2000 09:32:41 PM,04/12/2000 09:37:43 PM,04/12/2000 09:48:49 PM,,Other,04/12/2000 10:31:08 PM,1400 Block of NEWCOMB AVE,SF,94124,B10,17,6516,1,1,2,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7335924152271, -122.38701801742)",001030119-M17
04012483,E13,00030627,Alarms,04/12/2000,04/12/2010,04/12/2000 09:30:54 PM,04/12/2000 09:30:57 PM,04/12/2000 09:31:23 PM,04/12/2000 09:34:01 PM,04/12/2000 09:34:30 PM,,,Other,04/12/2000 09:50:48 PM,500 Block of COMMERCIAL ST,SF,94111,B01,13,1166,3,3,3,false,,1,ENGINE,1,1,3,Tenderloin,"(37.7942116655012, -122.402644729189)",001030120-E13
05002244,M18,00030630,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:31:55 PM,04/12/2000 09:33:48 PM,04/12/2000 09:34:10 PM,04/12/2000 09:35:59 PM,04/12/2000 09:45:22 PM,,,Other,04/12/2000 09:49:52 PM,1800 Block of IRVING ST,SF,94122,B08,22,7424,1,1,2,false,,1,MEDIC,1,8,4,Sunset/Parkside,"(37.763482287794, -122.477678638767)",001030122-M18
001030124,M09,00030633,Medical Incident,04/12/2000,04/12/2000,04/12/2000 09:41:20 PM,04/12/2000 09:41:39 PM,04/12/2000 09:43:19 PM,04/12/2000 09:46:26 PM,04/12/2000 09:52:57 PM,,,Other,04/12/2000 10:00:32 PM,21ST ST/SHOTWELL ST,SF,94110,B06,07,5455,1,1,2,true,,1,MEDIC,1,6,9,Mission,"(37.7572324112144, -122.415626198524)",001030124-M09
03048160,E08,00030635,Medical Incident,04/12/2011,04/12/2000,04/12/2000 09:46:09 PM,04/12/2000 09:46:09 PM,04/12/2000 09:46:09 PM,,,,,Other,04/12/2000 09:48:27 PM,4TH ST/KING ST,SF,94107,B03,08,2236,3,3,3,false,,1,ENGINE,1,3,6,Mission Bay,"(37.7763329756243, -122.394035065186)",001030127-E08
03031831,E05,07021713,Alarms,04/12/2000,04/12/2011,04/12/2000 09:45:28 PM,04/12/2000 09:46:21 PM,04/12/2000 09:46:45 PM,04/12/2000 09:48:07 PM,04/12/2000 09:49:45 PM,,,Other,04/12/2000 10:19:27 PM,1400 Block of STEINER ST,SF,94115,B04,05,3623,3,3,3,false,,1,ENGINE,1,5,5,Tenderloin,"(37.7826256736324, -122.434187755055)",001030128-E05
001030128,T06,00030636,Alarms,04/12/2000,04/12/2011,04/12/2000 09:45:28 PM,04/12/2000 09:46:21 PM,04/12/2000 09:46:45 PM,04/12/2000 09:47:44 PM,04/12/2000 09:50:09 PM,,,Other,04/12/2000 10:17:00 PM,1400 Block of STEINER ST,SF,94115,B04,05,3623,3,3,3,false,,1,TRUCK,2,5,5,Tenderloin,"(37.7826256736324, -122.434187755055)",001030128-T06
