dispatching_base_number,date,active_vehicles,trips
B02512,3/21/2015,1,1
B02513,3/21/2016,2,3
B02764,3/22/2016,3,2
B02512,3/21/2015,1,2
B02513,3/21/2014,2,1
B02764,3/22/2014,3,1
B02512,3/21/2013,1,4
B02513,3/21/2014,2,3
B02764,3/22/2014,3,4
B02764,3/22/2014,3,1
B02764,3/22/2014,3,1
B02764,3/22/2014,3,1
B02682,2/26/2015,1465,13814
B02512,2/26/2015,243,1797
B02765,2/26/2015,745,6744
B02764,2/26/2015,4101,36091
B02765,2/27/2015,786,7563
B02617,2/27/2015,1551,14677
B02598,2/27/2015,1114,10755
B02512,2/27/2015,272,2056
B02764,2/27/2015,4253,38780
B02682,2/27/2015,1510,14975
B02598,2/28/2015,994,10319
B02764,2/28/2015,3952,39812
B02617,2/28/2015,1372,14022
B02682,2/28/2015,1386,14472
B02512,2/28/2015,230,1803
B02765,2/28/2015,747,7753
